Date,Open,High,Low,Close,Adj Close,Volume
01-01-2021,1994.00,1998.00,1961.00,1967.90,1924.33,2266166.00
02-01-2021,1980.00,2014.60,1972.80,2000.30,1956.02,4054489.00
03-01-2021,2010.00,2039.95,2008.25,2031.65,1986.67,2095740.00
04-01-2021,2037.10,2086.00,2037.00,2079.30,2033.27,3719663.00
05-01-2021,2085.00,2089.60,2058.10,2079.30,2033.27,2939886.00
06-01-2021,2078.15,2079.70,2007.40,2014.50,1969.90,4397518.00
07-01-2021,2028.65,2054.40,2018.80,2048.30,2002.95,3152103.00
08-01-2021,2059.00,2075.00,2032.70,2070.75,2024.91,2194294.00
09-01-2021,2070.00,2098.00,2057.65,2091.50,2045.20,2690970.00
10-01-2021,2083.00,2085.50,2036.00,2040.25,1995.08,3313062.00
11-01-2021,2045.00,2055.00,2013.65,2019.50,1974.79,3422442.00
12-01-2021,2038.00,2039.00,2007.00,2014.50,1969.90,3198471.00
13-01-2021,2070.00,2119.80,2041.00,2113.30,2066.51,9189201.00
14-01-2021,2120.00,2155.95,2115.55,2131.80,2084.60,5771952.00
15-01-2021,2149.90,2155.00,2114.20,2150.05,2102.45,3413728.00
16-01-2021,2148.00,2176.00,2145.60,2161.45,2113.60,2007135.00
17-01-2021,2163.00,2165.50,2134.05,2155.05,2107.34,2163524.00
18-01-2021,2158.00,2195.00,2156.10,2183.45,2135.11,3003071.00
19-01-2021,2175.00,2205.00,2168.05,2195.00,2146.41,4211526.00
20-01-2021,2203.00,2243.95,2193.15,2238.55,2188.99,2716958.00
21-01-2021,2238.55,2266.95,2230.10,2260.35,2210.31,3488395.00
22-01-2021,2255.00,2259.40,2211.10,2215.40,2166.35,2457699.00
23-01-2021,2185.00,2186.05,2125.00,2132.00,2084.80,3780886.00
24-01-2021,2110.00,2165.00,2108.50,2157.85,2110.08,2891422.00
25-01-2021,2160.05,2184.35,2138.80,2151.95,2104.31,2201698.00
26-01-2021,2151.00,2168.00,2130.40,2152.85,2105.19,1824895.00
27-01-2021,2145.00,2184.10,2136.10,2172.55,2124.45,2264162.00
28-01-2021,2175.00,2192.00,2125.85,2135.80,2088.52,2039633.00
29-01-2021,2133.00,2167.00,2121.65,2128.75,2081.62,1701744.00
30-01-2021,2135.00,2159.80,2072.35,2092.35,2046.03,2456110.00
31-01-2021,2097.00,2124.00,2084.50,2095.40,2049.01,2346876.00
01-02-2021,2096.00,2124.00,2077.05,2108.75,2062.07,1946529.00
02-02-2021,2112.60,2135.00,2090.00,2095.45,2049.06,1947908.00
03-02-2021,2125.00,2151.40,2050.00,2143.95,2096.49,2625116.00
04-02-2021,2148.05,2148.70,2102.55,2109.75,2063.04,1863157.00
05-02-2021,2110.00,2121.95,2075.00,2081.75,2035.66,2595795.00
06-02-2021,2098.00,2115.35,2050.00,2054.05,2008.58,2541294.00
07-02-2021,2070.00,2070.00,2032.25,2048.00,2002.66,2274208.00
08-02-2021,2054.80,2068.95,2040.10,2055.15,2009.65,2329820.00
09-02-2021,2060.00,2097.50,2045.00,2073.75,2027.84,5872979.00
10-02-2021,2080.00,2123.70,2077.10,2107.55,2060.89,3281320.00
11-02-2021,2123.00,2156.55,2114.40,2146.30,2098.78,4971725.00
12-02-2021,2160.00,2204.95,2152.25,2196.55,2147.92,4265370.00
13-02-2021,2201.00,2247.65,2185.65,2242.30,2192.66,3682419.00
14-02-2021,2224.00,2224.00,2175.00,2183.10,2152.05,2408658.00
15-02-2021,2199.00,2199.00,2152.00,2166.10,2135.29,3735467.00
16-02-2021,2174.00,2189.80,2142.10,2181.75,2150.71,2659446.00
17-02-2021,2196.70,2235.85,2185.50,2231.50,2199.76,2080593.00
18-02-2021,2237.00,2263.95,2231.00,2252.80,2220.75,3048937.00
19-02-2021,2245.00,2266.90,2219.00,2260.90,2228.74,2404448.00
20-02-2021,2264.00,2285.00,2243.05,2254.10,2222.04,3320916.00
21-02-2021,2257.25,2263.10,2234.00,2254.50,2222.43,2131408.00
22-02-2021,2256.00,2262.00,2241.45,2249.20,2217.20,1489497.00
23-02-2021,2244.00,2260.00,2231.20,2250.85,2218.83,1877447.00
24-02-2021,2255.00,2276.00,2243.15,2259.90,2227.75,1652817.00
25-02-2021,2230.00,2284.00,2212.00,2277.95,2245.55,2199377.00
26-02-2021,2285.00,2292.50,2242.00,2249.85,2217.85,3871804.00
27-02-2021,2254.15,2280.00,2250.80,2275.50,2243.13,1382424.00
28-02-2021,2270.00,2274.45,2250.50,2267.80,2235.54,1386077.00
01-03-2021,2265.00,2266.80,2250.00,2254.20,2222.13,1762224.00
02-03-2021,2255.00,2264.00,2241.30,2252.55,2220.51,2813464.00
03-03-2021,2260.00,2261.95,2222.50,2227.20,2195.52,2372928.00
04-03-2021,2235.00,2255.00,2206.60,2239.55,2207.69,2769940.00
05-03-2021,2244.90,2257.00,2216.45,2252.10,2220.06,1771746.00
06-03-2021,2252.20,2258.80,2232.00,2237.65,2205.82,1656881.00
07-03-2021,2234.00,2252.00,2230.10,2242.65,2210.75,984140.00
08-03-2021,2247.00,2250.00,2140.00,2163.10,2132.33,4088470.00
09-03-2021,2149.00,2188.80,2132.10,2175.40,2144.45,2788062.00
10-03-2021,2174.00,2174.40,2104.55,2133.35,2103.00,3977224.00
11-03-2021,2080.00,2127.85,2071.30,2108.20,2078.21,6343581.00
12-03-2021,2128.00,2129.00,2086.05,2102.55,2072.64,2400346.00
13-03-2021,2102.10,2119.75,2093.10,2107.60,2077.62,1560725.00
14-03-2021,2125.00,2153.60,2098.00,2145.70,2115.18,2900415.00
15-03-2021,2126.00,2132.50,2100.00,2106.00,2080.89,2735399.00
16-03-2021,2108.00,2125.00,2092.10,2117.25,2092.01,1802969.00
17-03-2021,2116.20,2116.20,2060.00,2065.95,2041.32,3072096.00
18-03-2021,2077.00,2097.00,2062.50,2076.95,2052.19,1953177.00
19-03-2021,2077.00,2117.45,2068.80,2109.90,2084.74,1920167.00
20-03-2021,2127.90,2130.00,2102.40,2112.45,2087.26,3538588.00
21-03-2021,2110.00,2120.80,2076.50,2096.80,2071.80,2413196.00
22-03-2021,2108.90,2135.00,2092.55,2127.90,2102.53,2544464.00
23-03-2021,2129.80,2129.80,2095.00,2109.05,2083.90,1720592.00
24-03-2021,2110.80,2142.00,2103.30,2130.00,2104.60,1647090.00
25-03-2021,2130.00,2185.00,2120.45,2179.15,2153.17,2851672.00
26-03-2021,2171.75,2211.70,2147.15,2205.70,2179.40,3000677.00
27-03-2021,2200.00,2217.50,2166.25,2180.05,2154.06,2375236.00
28-03-2021,2173.00,2210.00,2165.50,2205.30,2179.01,2500816.00
29-03-2021,2199.90,2252.25,2195.60,2248.60,2221.79,3039682.00
30-03-2021,2232.80,2251.95,2211.45,2214.90,2188.49,2885467.00
31-03-2021,2230.00,2238.50,2207.25,2213.45,2187.06,2165362.00
01-04-2021,2228.90,2281.00,2218.90,2258.10,2231.18,2073298.00
02-04-2021,2260.00,2267.90,2241.35,2246.25,2219.47,1744550.00
03-04-2021,2245.00,2246.25,2194.30,2199.45,2173.23,1647281.00
04-04-2021,2181.10,2217.85,2167.40,2204.40,2178.12,1945002.00
05-04-2021,2241.40,2241.40,2143.25,2165.10,2139.29,3755507.00
06-04-2021,2180.00,2186.00,2157.70,2163.00,2137.21,974884.00
07-04-2021,2172.00,2205.00,2166.50,2186.75,2160.68,1843611.00
08-04-2021,2184.95,2202.00,2182.25,2186.20,2160.13,1214408.00
09-04-2021,2187.00,2235.65,2170.00,2216.00,2189.58,2131601.00
10-04-2021,2214.95,2259.90,2213.90,2247.70,2220.90,2826425.00
11-04-2021,2247.00,2282.00,2225.00,2276.30,2249.16,2345475.00
12-04-2021,2270.00,2274.85,2229.00,2236.50,2209.83,3432106.00
13-04-2021,2240.00,2252.15,2216.00,2239.25,2212.55,1294621.00
14-04-2021,2222.20,2248.20,2222.20,2233.45,2206.82,1670652.00
15-04-2021,2241.00,2266.00,2218.00,2259.60,2232.66,2583625.00
16-04-2021,2270.00,2296.20,2236.95,2251.60,2224.76,2545060.00
17-04-2021,2265.00,2270.00,2233.00,2245.40,2218.63,2228092.00
18-04-2021,2242.20,2253.65,2207.30,2215.30,2188.89,2055943.00
19-04-2021,2216.00,2233.50,2192.60,2197.50,2171.30,1890550.00
20-04-2021,2200.00,2202.85,2179.80,2182.85,2156.82,1703945.00
21-04-2021,2186.00,2195.00,2146.55,2154.00,2128.32,2627440.00
22-04-2021,2155.00,2165.00,2120.35,2133.60,2108.16,2118859.00
23-04-2021,2135.00,2157.95,2115.55,2141.95,2116.41,2291174.00
24-04-2021,2159.95,2173.40,2126.40,2150.00,2124.37,2597948.00
25-04-2021,2154.95,2156.55,2105.60,2122.65,2097.34,2796530.00
26-04-2021,2126.40,2142.95,2113.15,2138.55,2113.05,1454663.00
27-04-2021,2135.00,2135.80,2091.00,2101.95,2076.89,1652691.00
28-04-2021,2104.90,2129.40,2057.00,2065.45,2040.82,6941979.00
29-04-2021,2099.00,2099.00,1975.00,2015.80,1991.77,6323401.00
30-04-2021,2015.00,2061.00,2013.00,2044.70,2020.32,4620978.00
01-05-2021,2065.00,2092.00,2060.05,2088.45,2063.55,4002232.00
02-05-2021,2097.90,2107.00,2063.00,2087.60,2062.71,4234281.00
03-05-2021,2085.00,2085.20,2051.40,2056.15,2031.64,2046795.00
04-05-2021,2061.85,2104.00,2060.00,2099.30,2074.27,2620039.00
05-05-2021,2095.95,2095.95,2039.70,2059.95,2035.39,3342877.00
06-05-2021,2070.00,2081.15,2046.15,2060.25,2035.69,2317618.00
07-05-2021,2060.60,2087.95,2054.95,2079.35,2054.56,2163251.00
08-05-2021,2080.00,2094.50,2041.00,2047.70,2023.29,2177916.00
09-05-2021,2060.00,2060.00,2015.50,2020.10,1996.02,2066920.00
10-05-2021,2028.00,2039.05,1997.10,2004.45,1980.55,2881452.00
11-05-2021,1931.00,1995.00,1925.00,1986.85,1963.16,12593069.00
12-05-2021,1995.00,2032.75,1968.00,2021.00,1996.90,3510704.00
13-05-2021,2032.00,2047.00,2022.70,2037.30,2013.01,2261310.00
14-05-2021,2038.00,2056.00,2016.00,2046.40,2022.00,3034082.00
15-05-2021,2014.00,2038.00,1999.30,2030.95,2011.65,3818774.00
16-05-2021,2037.50,2063.90,2025.00,2057.35,2037.80,3087901.00
17-05-2021,2080.00,2111.50,2040.05,2051.40,2031.91,5552505.00
18-05-2021,2060.00,2083.85,2052.50,2070.10,2050.43,2348134.00
19-05-2021,2084.00,2099.00,2061.30,2082.00,2062.22,2798671.00
20-05-2021,2094.00,2130.00,2075.05,2124.95,2104.76,3954245.00
21-05-2021,2094.00,2130.00,2075.05,2124.95,2104.76,3954245.00
22-05-2021,2121.50,2201.70,2121.50,2194.85,2173.99,5064173.00
23-05-2021,2225.00,2260.00,2176.85,2252.80,2231.39,5195136.00
24-05-2021,2250.00,2284.95,2237.00,2269.65,2248.08,4879261.00
25-05-2021,2264.00,2275.00,2195.00,2200.90,2179.99,4172620.00
26-05-2021,2207.00,2229.20,2180.90,2193.95,2173.10,2646411.00
27-05-2021,2197.00,2211.00,2169.00,2201.85,2180.93,2693475.00
28-05-2021,2200.00,2210.80,2179.00,2188.50,2167.70,2540719.00
29-05-2021,2204.50,2204.50,2175.20,2185.35,2164.58,1915598.00
30-05-2021,2189.60,2189.60,2124.00,2129.95,2109.71,2788759.00
31-05-2021,2135.00,2139.00,2091.00,2100.95,2080.99,2983768.00
01-06-2021,2118.00,2183.80,2118.00,2178.60,2157.90,3823365.00
02-06-2021,2187.50,2200.00,2146.70,2196.80,2175.92,2995915.00
03-06-2021,2196.00,2211.50,2168.75,2174.45,2153.79,2724180.00
04-06-2021,2178.40,2187.75,2148.75,2152.60,2132.14,1611089.00
05-06-2021,2153.00,2154.65,2105.00,2108.80,2088.76,2975313.00
06-06-2021,2121.95,2135.00,2094.50,2108.55,2088.51,2894129.00
07-06-2021,2112.00,2126.60,2107.40,2118.10,2097.97,2052574.00
08-06-2021,2097.00,2107.00,2060.50,2071.70,2052.01,3742049.00
09-06-2021,2074.55,2084.95,2052.20,2081.50,2061.72,2737010.00
10-06-2021,2089.85,2097.90,2035.05,2046.65,2027.20,6561580.00
11-06-2021,2052.00,2071.70,2046.55,2054.30,2034.78,2907521.00
12-06-2021,2067.05,2094.40,2060.00,2077.35,2057.61,2924429.00
13-06-2021,2085.00,2085.00,2045.80,2053.25,2033.74,2064271.00
14-06-2021,2060.00,2067.70,2016.00,2021.05,2001.84,3809860.00
15-06-2021,2027.70,2062.00,2010.00,2051.00,2031.51,4664774.00
16-06-2021,2053.00,2082.00,2045.50,2078.50,2058.75,3334301.00
17-06-2021,2083.00,2126.80,2068.35,2121.30,2101.14,3902721.00
18-06-2021,2124.00,2128.00,2101.00,2123.60,2103.42,1829461.00
19-06-2021,2127.95,2127.95,2053.50,2060.45,2040.87,2244747.00
20-06-2021,2060.00,2060.85,2003.25,2012.85,1993.72,4520045.00
21-06-2021,2025.40,2048.00,2006.75,2041.90,2022.50,4943024.00
22-06-2021,2051.10,2083.65,1984.00,2020.90,2001.70,7137306.00
23-06-2021,2023.00,2077.40,2007.00,2071.25,2051.57,5711133.00
24-06-2021,2096.00,2136.00,2080.30,2126.75,2106.54,5574177.00
25-06-2021,2126.50,2169.00,2119.00,2164.95,2144.38,6059673.00
26-06-2021,2174.00,2203.45,2153.00,2167.75,2147.15,8251081.00
27-06-2021,2179.80,2236.50,2167.55,2229.05,2207.87,6251505.00
28-06-2021,2220.00,2246.70,2208.25,2222.90,2201.78,5548338.00
29-06-2021,2210.00,2241.95,2210.00,2231.70,2210.49,2247329.00
30-06-2021,2239.00,2243.55,2211.15,2215.60,2194.55,1805896.00
01-07-2021,2216.40,2229.00,2195.20,2201.95,2181.03,1880367.00
02-07-2021,2208.00,2226.40,2176.00,2198.50,2177.61,2720261.00
03-07-2021,2207.00,2225.00,2177.10,2183.20,2162.45,2288830.00
04-07-2021,2189.00,2197.00,2157.45,2161.70,2141.16,1909289.00
05-07-2021,2168.00,2183.90,2154.00,2167.60,2147.00,1354908.00
06-07-2021,2179.95,2179.95,2149.20,2157.65,2137.15,2380752.00
07-07-2021,2164.00,2223.00,2164.00,2200.65,2179.74,4655761.00
08-07-2021,2205.00,2225.95,2187.90,2200.45,2179.54,3023209.00
09-07-2021,2200.50,2214.65,2183.80,2205.85,2184.89,2429317.00
10-07-2021,2205.00,2260.00,2202.05,2255.25,2233.82,5197454.00
11-07-2021,2248.75,2251.95,2210.00,2214.35,2193.31,3734173.00
12-07-2021,2228.00,2234.00,2208.00,2213.55,2192.52,1915807.00
13-07-2021,2217.85,2218.95,2184.70,2190.35,2169.54,2843893.00
14-07-2021,2195.00,2229.80,2195.00,2206.90,2185.93,2948452.00
15-07-2021,2213.00,2231.00,2194.20,2226.90,2205.74,2620681.00
16-07-2021,2226.95,2249.00,2215.00,2238.80,2217.53,3117214.00
17-07-2021,2240.75,2253.55,2213.00,2219.10,2198.01,3281059.00
18-07-2021,2194.90,2242.20,2156.20,2170.35,2149.73,5817599.00
19-07-2021,2169.95,2186.55,2158.05,2171.05,2150.42,1902980.00
20-07-2021,2181.00,2210.00,2173.70,2206.90,2185.93,1773686.00
21-07-2021,2209.80,2217.75,2183.70,2190.95,2175.06,2069866.00
22-07-2021,2190.95,2190.95,2170.00,2183.40,2167.56,1319430.00
23-07-2021,2189.70,2193.45,2165.00,2169.25,2153.52,1549101.00
24-07-2021,2174.00,2187.80,2152.00,2183.75,2167.91,1743024.00
25-07-2021,2185.00,2186.95,2150.00,2154.60,2138.97,2306761.00
26-07-2021,2160.00,2165.00,2125.00,2137.85,2122.34,2098567.00
27-07-2021,2139.40,2144.35,2071.60,2079.05,2063.97,3287223.00
28-07-2021,2152.00,2194.70,2093.20,2102.50,2087.25,4728073.00
29-07-2021,2129.00,2136.70,2086.60,2107.75,2092.46,3509339.00
30-07-2021,2115.00,2156.70,2104.30,2146.55,2130.98,2439322.00
31-07-2021,2145.00,2174.20,2115.50,2128.35,2112.91,2640065.00
01-08-2021,2139.00,2151.00,2119.00,2136.55,2121.05,2083442.00
02-08-2021,2140.90,2167.00,2119.00,2161.95,2146.27,2383032.00
03-08-2021,2163.00,2174.80,2147.60,2153.40,2137.78,1335820.00
04-08-2021,2151.10,2185.00,2150.00,2170.75,2155.00,1620407.00
05-08-2021,2172.95,2197.00,2171.00,2191.95,2176.05,1645948.00
06-08-2021,2188.00,2212.00,2171.00,2184.20,2168.36,1500115.00
07-08-2021,2196.95,2217.00,2190.20,2203.25,2187.27,1774724.00
08-08-2021,2199.95,2221.00,2186.05,2215.75,2199.68,2486223.00
09-08-2021,2215.75,2230.00,2190.50,2196.35,2180.42,1760463.00
10-08-2021,2204.50,2214.40,2151.25,2156.80,2141.16,2317278.00
11-08-2021,2156.00,2178.95,2106.70,2115.35,2100.01,3092877.00
12-08-2021,2115.50,2176.65,2111.00,2156.15,2140.51,2674567.00
13-08-2021,2154.00,2163.90,2112.95,2123.60,2108.20,2686842.00
14-08-2021,2119.95,2119.95,2086.20,2105.50,2090.23,2349001.00
15-08-2021,2068.00,2069.50,1990.00,2000.15,1985.64,4298076.00
16-08-2021,2035.00,2053.95,1985.70,2001.30,1986.78,2667076.00
17-08-2021,2020.00,2060.00,2012.00,2036.20,2021.43,2757585.00
18-08-2021,2056.00,2094.45,2025.00,2083.20,2068.09,3237002.00
19-08-2021,2085.70,2147.75,2084.05,2125.05,2109.64,3937056.00
20-08-2021,2098.00,2123.65,2071.60,2116.45,2101.10,2595027.00
21-08-2021,2075.00,2079.90,1935.00,1972.35,1958.04,4940975.00
22-08-2021,1933.00,1987.30,1920.00,1953.70,1939.53,6796449.00
23-08-2021,1904.00,1908.40,1758.35,1769.85,1757.01,8728786.00
24-08-2021,1687.90,1820.00,1506.05,1806.30,1793.20,8029720.00
25-08-2021,1755.00,1842.25,1675.85,1696.40,1684.10,7844271.00
26-08-2021,1730.00,1731.00,1623.15,1658.00,1645.97,5713248.00
27-08-2021,1676.80,1713.55,1627.75,1654.40,1642.40,7258778.00
28-08-2021,1559.70,1685.45,1546.75,1636.35,1636.35,5135111.00
29-08-2021,1630.00,1869.00,1627.00,1797.45,1797.45,8547498.00
30-08-2021,1620.00,1750.00,1617.75,1669.70,1669.70,7003490.00
31-08-2021,1653.05,1770.00,1632.85,1703.15,1703.15,6350865.00
01-09-2021,1700.00,1810.00,1680.00,1750.30,1750.30,2765520.00
02-09-2021,1831.60,1832.05,1722.55,1790.95,1790.95,4556067.00
03-09-2021,1820.00,1850.00,1750.40,1824.50,1824.50,4331250.00
04-09-2021,1766.00,1905.00,1763.55,1778.50,1778.50,8513547.00
05-09-2021,1837.40,1855.00,1780.00,1826.10,1826.10,3927593.00
06-09-2021,1825.90,1834.75,1702.00,1708.75,1708.75,4941878.00
07-09-2021,1740.00,1740.00,1650.00,1654.20,1654.20,5735369.00
08-09-2021,1710.00,1785.85,1705.00,1775.20,1775.20,5427577.00
09-09-2021,1760.00,1806.00,1701.00,1705.45,1705.45,6285615.00
10-09-2021,1750.45,1778.80,1731.20,1766.15,1766.15,5307397.00
11-09-2021,1761.00,1787.00,1746.00,1759.25,1759.25,2990438.00
12-09-2021,1785.00,1812.00,1727.80,1735.15,1735.15,4761399.00
13-09-2021,1709.95,1764.90,1675.05,1716.05,1716.05,6245533.00
14-09-2021,1800.00,1851.95,1753.00,1806.20,1806.20,9895823.00
15-09-2021,1830.00,1830.00,1802.50,1818.65,1818.65,3244282.00
16-09-2021,1765.00,1794.60,1727.70,1737.65,1737.65,5122541.00
17-09-2021,1737.65,1790.00,1719.15,1769.50,1769.50,3829836.00
18-09-2021,1780.00,1900.00,1760.85,1878.25,1878.25,5934366.00
19-09-2021,1840.70,1851.95,1807.80,1818.55,1818.55,2987102.00
20-09-2021,1832.30,1875.00,1825.00,1836.60,1836.60,3374741.00
21-09-2021,1865.00,1868.00,1832.60,1859.05,1859.05,2678505.00
22-09-2021,1874.00,1912.55,1850.05,1905.65,1905.65,4241510.00
23-09-2021,1980.00,2032.00,1942.20,2014.45,2014.45,5915544.00
24-09-2021,1966.00,1966.00,1913.65,1930.45,1930.45,3729348.00
25-09-2021,1955.10,1977.00,1927.00,1932.75,1932.75,2905528.00
26-09-2021,1939.80,1953.70,1893.60,1903.60,1903.60,3517431.00
27-09-2021,1910.00,1934.45,1883.35,1891.65,1891.65,3166754.00
28-09-2021,1939.10,1939.50,1886.25,1893.40,1893.40,2686530.00
29-09-2021,1909.00,1951.40,1909.00,1935.30,1935.30,2449841.00
30-09-2021,1933.40,1956.50,1910.25,1949.50,1949.50,3256595.00
01-10-2021,1994.00,1994.00,1925.65,1949.65,1949.65,2656665.00
02-10-2021,1910.00,1923.10,1891.10,1902.35,1902.35,2263146.00
03-10-2021,1916.00,1917.40,1865.20,1892.90,1892.90,3173682.00
04-10-2021,1907.00,1952.95,1872.10,1945.60,1945.60,3727694.00
05-10-2021,1903.00,1966.45,1903.00,1948.65,1948.65,3198693.00
06-10-2021,1950.00,1962.90,1931.70,1953.60,1953.60,2778505.00
07-10-2021,1946.00,1998.00,1941.15,1991.20,1991.20,3400908.00
08-10-2021,1977.10,2032.00,1961.25,2020.35,2020.35,3663418.00
09-10-2021,2015.00,2024.00,1925.00,1943.00,1943.00,4575317.00
10-10-2021,1959.00,2010.00,1941.25,2005.30,2005.30,3482160.00
11-10-2021,1988.50,2014.00,1971.30,2004.30,2004.30,3475681.00
